Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
79,E1/2 10-6-12,1125.3 to 1126.3,4222.01 4222.02,Vegetation - Weeds,Manure incorporated into subsoil to restore soil conditions.,Potential for weed introduction and spread.,No issue observed on right-of-way.,Resolved,None.,,WPM,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,GTopography Soils - Water Erosion rass waterway,"Straw logs placed on grass waterway, from KP 1125.1 to KP 1126.3 Subsoil diversion berms, and round straw bales installed to divert water. Straw bales obtained from landowner to minimize weed potential.","Grass waterway to be re-contoured, and the alfalfa and brome grass put back to the appropriate locations. Potential for erosion/sedimentation until vegetation is established.",Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,Unresolved,"Recontour slopes in 2010. Monitor grass growth, erosion and drainage in 2011.",,WPM,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,Soils - Admixing,--,--,Moderate to severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Soils - Erosion,Straw crimping completed along the construction right-of-way from 1124.9 to KP 1126.3.,Potential for erosion/sedimentation until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,WPM,
79,SE 10-6-12,1125.4 to 1126.2,4222.02,Vegetation - Establishment,--,--,Moderate vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Monitor grass/crop growth in 2011.,,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,GTopography Soils - Water Erosion rass waterway,"Subsoil diversion berms, and round straw bales installed to divert water. Straw bales obtained from landowner to minimize weed potential.","Grass waterway to be re-contoured, and the alfalfa and brome grass put back to the appropriate locations. Potential for erosion/sedimentation until vegetation is established.",Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,Unresolved,"Recontour slopes in 2010. Monitor grass growth, erosion and drainage in 2011.",,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Soils - Admixing,--,--,Moderate to severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
79,SE 10-6-12,1125.4 to 1125.7,4222.02,Landscape - Coarse Fragments,-,--,Increased stoniness observed on right-of-way during ground reconnaissance.,Unresolved,Hand-pick coarse fragments from right-of-way.,,WPM,
79 (Cont'd),SE 10-6-12 (Cont'd),1125.5 to 1126.2,4222.02,Soils - Admixing,Overlapped subsoil/transition and topsoil. No distinct separation was kept.  Soils were carefully separated mechanically to the extent possible. The soils that the Operator was unable to separate were used as a transition material and were spread across the construction right-of-way prior to the topsoil replacement.,Potential admixing.,Moderate to severe admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
79 (Cont'd),SE 10-6-12 (Cont'd),1125.5 to 1126.2,4222.02,Vegetation - Weeds,"Spraying conducted to control for various weeds (Jul. 5, 2009) from KP 1125.9 to KP 1126.2. Compressed air/shovel cleaning of equipment due to common burdock at KP 1126.2.",Potential for weed introduction and spread.,"Moderate density of green foxtail, redroot pigweed and spear-leaved goosefoot on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,WPM,
79,SW 11-6-12,1126.2 to 1126.9,4223,Soils - Topsoil Overstripped,Topsoil overstripped by Operator due to lack of Foreman guidance. The Senior Environmental Inspector addressed the issue with the Foreman to ensure this practice would not occur in the future.,Potential admixing.,No admixing observed on right-of-way.,Resolved,None.,,WPM,
79,SW 11-6-12,1126.2 to 1126.9,4223,Vegetation - Weeds,--,--,"Moderate density of green foxtail, tumbling mustard, white cockle and perennial sow-thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,WPM,
79,NE 2-6-12,1127.2 to 1127.4,4225,Soils - Admixing,Overlapped subsoil/transition and topsoil. No distinct separation was kept. Soils were carefully separated mechanically to the extent possible. The soils that the Operator was unable to separate were used as a transition material and were spread across the construction right-of-way prior to the topsoil replacement,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,WPM,
79,NE 2-6-12,1127.2 to 1127.4,4225,Soils - Erosion,--,--,Poor vegetation establishment and rill erosion observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,WPM,
80,NE 31-5-11,1131.3 to 1131.5,4231,CTopography – Slopes Soils - Water Erosion and Sloughing Water Quality and Quantity ypress River,"Appropriate vehicle crossing installed - single span bridge. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Slash rollback and diversion berms on both slopes. Hand seeded, Curlex, Sediment Stop and rock swales installed on east bank, log rollback and straw crimped west bank and additional topsoil placed at log rollback areas prior to seeding. East slope has actively running underground streams. French drain installed on east slope. Trees planted on west slope.  Silt fence installed. Track cleat imprinting conducted.",Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns. Potential for sloughing of steep slopes.-,"Poor vegetation establishment on right-of-way at west bank. Area is highly disturbed by cattle. East bank of right-of-way crossing is unstable. No trees were observed on the west slope, likely due to cattle traffic.",Unresolved,"Armour, wrap, reseed and/or recontour river banks. Monitor grass growth and bank stability in 2011.",,WPM,
80,NW 32-5-11,1131.7 to 1132.6,4232,Landscape - Coarse Fragments,--,--,Excessive woody debris observed on right-of-way during ground reconnaissance.,Unresolved,Remove excess woody debris in 2010.,,WPM,
80,NE 32-5-11,1132.7 to 1133.0,4233,Topography – Slopes Soils - Compaction and Erosion,Sidehill has higher compaction than off construction right-of-way. Minimal decompaction conducted on the hill side to prevent sloughing. Seeded a cover crop to prevent wash out during spring runoff.,Potential for erosion. Potential for soil compaction.,Minor compaction on right-of-way. No erosion observed on right-of-way.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction, if warranted.",,WPM,
80,NE 32-5-11,1132.7 to 1133.0,4233,Landscape - Coarse Fragments,--,--,Excessive woody debris observed on right-of-way during ground reconnaissance.,Unresolved,Remove excess woody debris in 2010.,,WPM,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Topography – Slopes Soils - Compaction and Erosion,Sidehill has higher compaction than off construction right-of-way. Minimal decompaction conducted on the hill side to prevent sloughing. Seeded a cover crop to prevent wash out during spring runoff.,Potential for erosion. Potential for soil compaction.,No issue observed on right-of-way.,Resolved,None.,,WPM,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,WPM,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Soils - Admixing,--,--,Severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
80,SW 33-5-11,1133.5 to 1134.5,4234,Soils - Compaction,"Compaction was marginally greater on construction right-of-way than off through this area, especially in the vicinity of the bar ditch and road crossing. A chisel plow was pulled through this area twice.",Potential compaction.,No issues observed on right-of-way.,Resolved,None.,,WPM,
80,SW 33-5-11,1133.5 to 1134.5,4234,Soils - Admixing,Previous admixing from past construction.  Admixed material was kept as transition during the LSr construction.  During the Alberta Clipper pipeline construction this material was overlapped onto the clean topsoil windrow The admixed material was pulled back from the topsoil by a skilled operator.  The mixed transition pile was put back first during the final cleanup.,Potential admixing.,Severe admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
80,SE 33-5-11,1134.5 to 1134.8,4235,Soils - Compaction Topography - Unnatural Contours,"Compaction was marginally greater on construction right-of-way than off through this area, especially in the vicinity of the bar ditch and road crossing. A chisel plow was pulled through this area twice. Compaction noted in the area near the temporary workspace.  Contractor could not alleviate this compaction in the area near the temporary workspace due to the close proximity to the road and potential underground lines. Recontoured the construction right-of-way.",Potential compaction. Potential for disruption of natural drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,WPM,
80,SE 33-5-11,1134.6,4235,Vegetation - Weeds,"Hand-picked, bagged and removed white cockle (noxious weed in a large patch both on and off construction right-of-way) from the construction right-of-way.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,WPM,
80,SE 27-5-11,1136.7 to 1137.2,4238.01,Soils - Previous Admixing,Previous admixing and clay to surface over the hotline from previous pipeline construction. Kept the material separate from previously unmixed topsoil and replaced previously admixed topsoil separately from unmixed topsoil.,Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,WPM,
80,SW 26-5-11,1137.3,4239,Soils - Previous Admixing,Previous admixing and clay to surface over the hotline from previous pipeline construction. Kept the material separate from previously unmixed topsoil and replaced previously admixed topsoil separately from unmixed topsoil.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,WPM,
80,SW 26-5-11,1137.5 to 1137.75,4239,Soils - Compaction,--,--,Severe compaction causing poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,"Alleviate compaction, reseed and monitor in 2011.",,WPM,
80,SW 26-5-11,1137.7,4239,Soils - Shallow Topsoil,Bald clay exposed in spots on surface. Topsoil added to bald exposed areas.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,WPM,
80,NW 24-5-11,1139.9,4241.01 4241.02,UTopography – Slopes Soils - Wind and Water Erosion Water Quality and Quantity nnamed Drainage,Appropriate vehicle crossing installed - single span bridge. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Seeded bed and banks. East slope has silt-textured soils and is prone to wind and water erosion. Installed erosion control in the form of subsoil and surface diversion berms as well as silt fence.  Double silt fence installed on east slope.  Track cleat imprinting conducted.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Silt fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly recontoured and sediment has entered the drainage.,Unresolved,"Repair and recontour banks, repair silt fences and reseed in 2010. Monitor grass growth in 2011.",,WPM,
80,NW 24-5-11,1139.9,4241.01 4241.02,UVegetation – Weeds nnamed Drainage,--,--,"High density of false ragweed, creeping (Canada) thistle, stinkweed and perennial sow-thistle observed on both sides of the drainage during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,WPM,
80,SW 19-5-10,1140.95 to 1141.3,4244,ITopography - SlopesSoils - Water Erosion  Water Quality and Quantity ntermittent Creek,Appropriate vehicle crossing installed. Isolation method used. Reshaped and compacted bed and banks. Seeded bed and banks. Installed erosion control in the form of subsoil and surface diversion berms as well as silt fence.  Double silt fence installed on east slope.  Track cleat imprinting conducted.  Curlex placed on west side of crossing as a requirement from NEB.,Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,Rill and gully erosion on both the west and east slopes. Soil berms on the east slope have failed creating gullies down the slope.,Unresolved,Repair and recontour slopes and repair berms in 2010. Monitor in 2011.,,WPM,
80,SE 19-5-10,1142.0 to 1142.1,4244.01,Vegetation - Weeds,Landowner requested full wash station for equipment cleaning prior to entry onto land.,Potential for weed introduction and spread.,Moderate density of creeping (Canada) thistle on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,WPM,
80,NE 18-5-10,1142.25 to 1142.7,4245,Vegetation - Weeds,"Cleavers noted on NE 18-5-10 WPM. Full wash station for cleaning equipment used during Alberta Clipper construction at landowner's request, but not used during co-construction.",Potential for weed introduction and spread.,"Moderate density of cleavers, Russian thistle, white cockle and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,WPM,
