Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NE 8-43-10 / SE 8-43-10,0374.1 0374.2,,170.644  171.560  Tame Pasture,,171.530,472452 E 5837810 N,Landscape - contouring,Low area observed on the ROW resulting in bare and saturated soils.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.","Re-contour, reseed and monitor vegetation growth in 2017.",Access was not granted at time of assessment. Weed control and repair has not been conducted.,"November 11, 2018: Enbridge to conduct repair work in 2018.",U,Repair and assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10,0375,,171.560  172.250  Cultivated,,171.560 to 172.250,--,Vegetation - establishment,Reduced crop establishment was observed on the ROW when compared to off ROW performance parameters.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Monitor vegetation establishment in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10,0375,,171.560  172.250  Cultivated,,--,--,Soil - Compaction,--,--,--,--,--,--,--,--,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10,0375,,171.560  172.250  Cultivated,,171.657,--,Landscape - contouring*,Low area observed on the ROW resulting in bare soils and pooled water. No soil issues.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Monitor in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,"November 11, 2018: Enbridge to conduct repair work in 2018.",U,Repair and assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10 (cont’d),See Above,,172.250  172.577  Tame pasture,,172.250 to 172.577,--,Vegetation - Establishment,Reduced vegetation establishment was observed on the ROW resulting in patches of bare soils. No soil issues.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Monitor vegetation establishment in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10 (cont’d),See Above,,172.250  172.577  Tame pasture,,--,--,Soil - Compaction,--,--,--,--,--,--,--,--,Compaction issue identified by Enbridge.,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10 (cont’d),See Above,,172.250  172.577  Tame pasture,,172.250 to 172.577,--,Landscape - Erosion,"Erosion control matting was observed to have been lifted, reducing vegetation establishment on slopes.",U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.","Repair erosion control blanket, reseed, and monitor in 2017.",Access was not granted at time of assessment. Weed control and repair has not been conducted.,"November 11, 2018: Enbridge to conduct repair work in 2018.",U,Repair and assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SW 9-43-10 (cont’d),See Above,,172.250  172.577  Tame pasture,,172.577,--,Landscape - Erosion,Erosion was observed on slope at field edge between pasture and cultivated land uses.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.","Repair erosion, reseed, and monitor in 2017.",Access was not granted at time of assessment. Weed control and repair has not been conducted.,"November 11, 2018: Enbridge to conduct repair work in 2018.",U,Repair and assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
SE 9-43-10,0376,,172.577  172.822  Cultivated,,172.577 to 172.580,--,Landscape - Erosion,Erosion was observed on slope at field edge between pasture and cultivated land uses. Rill erosion extends into cultivated field for approximately 10 m.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.","Repair erosion, reseed, and monitor in 2017.",Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 4-43-10,0377,,172.822  173.491  Tame pasture,,172.822 to 173.491,--,Vegetation - establishment,Reduced vegetation establishment was observed on the ROW resulting in patches of bare soils. No soil issues.,U,"November 9, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor vegetation establishment in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 4-43-10,0377,,172.822  173.491  Tame pasture,,173.368,474014 E 5836874 N,Landscape - erosion,Minor erosion was observed on slope resulting in reduced vegetation establishment.,U,"November 9, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.","Repair erosion, reseed, and monitor in 2017.",Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NE 4-43-10 (cont’d),See above,See above,See above,See above,173.491,474123 E 5836817 N,Landscape - erosion,Sediment fence is leaning over and at near capacity.,U,"November 9, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Repair sediment fence and monitor in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NW 3-43-10,0378 0379,,173.491  174.404  Treed pasture,,173.491 to 174.00,--,Vegetation - establishment,Reduced vegetation establishment was observed on the ROW resulting in patches of bare soils. No soil issues.,U,"November 9, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Had no issues or concerns.",Monitor vegetation establishment in 2017.,Access was not granted at time of assessment. Weed control and repair has not been conducted.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NW 3-43-10/ SW 3- 43-10,0378 0379 0381,,174.120  174.570  Wetland,,174.120 and 174.570,--,Vegetation - establishment,Bare ground and reduced vegetation establishment at wetland margins.,U,"October 6, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor vegetation establishment in 2017.,Access was not granted at time of assessment.,--,U,Assess in 2018.,--,Access was not granted at time of assessment.,U,Assess in 2019.,,,
NW 35-42-10,0386 0386.1 0387.1 0389 0390.1,,177.050  177.131  Residential/,tame pasture,177.030 to 177.131,--,Vegetation - weeds,"Weed issue observed along the ROW. Dog mustard, narrow-leaved hawk’s beard and Russian pigweed were observed on the ROW at higher densities than off ROW.",U,"October 18, 2016: land agent spoke with Landowner via telephone. Landowner concerned with seed mix that previous landowner chose. EI confirmed good vegetation.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 14, 2016: the ROW was mowed.",Monitor weeds in 2017.,Density and distribution of weed species were equal on and off the ROW.,"June 29, 2017: leafy spurge was not observed on the ROW.",R,None.,Landowner reported leafy spurge. Enbridge site visit did not observe leafy spurge on ROW.  Leafy spurge was sprayed on adjacent ROW.,Leafy spurge was observed at higher densities off ROW than on ROW.  It appears that leafy spurge is encroaching on ROW from dense infestations on adjacent power line corridor. Vegetation on ROW has established well.,R,Control of leafy spurge off ROW is required in order to prevent encroachment. Weed issue is not related to ETH reclamation.,,,
NW 35-42-10,0386 0386.1 0387.1 0389 0390.1,,177.131  177.367  Treed pasture,,177.131 to 177.367,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weeds in,2017.,Density and distribution of weed species were equal on and off the ROW.,"June 29, 2017: leafy spurge was not observed on the ROW.",R,None.,--,--,--,--,,,
SW 35-42-10/ SE 35-42-10,0391.1 0392,,177.367  178.419  Treed pasture,,177.367 to 178.419,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 35-42-10 / SW 36-42-10,0392 0393,,177.613  178.419  Treed pasture,,177.613 to 178.419,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 36-42-10,0393,,178.419  179.373  Treed pasture,,178.419 to 179.373,--,Vegetation - weeds,"Weed issue observed along the ROW. Canada thistle, perennial sow thistle and dog mustard were observed on the ROW at higher densities than off ROW.",U,"June 23, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW con Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 17, 2016: the ROW was mowed.",Monitor weeds in 2017.,"Weeds were assessed a few weeks prior to ground reconnaissance (June 29), and were not observed. However, at the time assessment by CH2M (July 2017), a weed issue observed along the ROW. Canada thistle, yellow sweet clover, dog mustard, and fox tail barley, were observed on the ROW at higher densities than off the ROW.","June 29, 2017: Weeds were not observed throughout the tract.",U,Control weeds and monitor in 2018.,--,Canada thistle and dog mustard were observed at higher densities on the ROW.,U,Control weeds and monitor in 2019.,,,
SW 36-42-10,0393,,178.419  179.373  Treed pasture,,--,--,Landscape - contouring,--,--,--,--,--,--,--,--,Drainage issue identified by landowner. Further discussion with landowner indicated that there are no issues on the ROW.,Low area with bare soil at wetland boundary was observed at KP 178.910 to KP 178.600.  Area appears be within proximity of a mapped low wetland.,R,None.,,,
SE 36-42-10 / NE 25-42-10,0394 0395,,179.120  179.670  Tame pasture,,179.800 to 179.900,--,Vegetation - establishment,Site has been repaired and reseeded. Vegetation is beginning to establish. No soil issues.,U,"June 23, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor vegetation establishment in 2017.,Vegetation is being outcompeted by weeds.,--,U,"Control weeds, reseed, and monitor in 2018.",--,Vegetation parameters were equal on and off ROW.  Vegetation has established well. No soil issues observed.,R,None.,,,
SE 36-42-10 / NE 25-42-10,0394 0395,,179.120  179.670  Tame pasture,,179.800 to 179.900,--,--,--,--,--,--,Weed issue observed along the ROW. Yellow and white sweet clover were observed on the ROW at higher densities than off the ROW.,--,U,"Control weeds, reseed, and monitor in 2018.",--,Density and distribution of weed species were equal on and off the ROW.,R,None.,,,
SE 36-42-10 /NE 25-42-10(cont’d),See above,,179.670  179.680  Watercourse -,Battle River,--,--,Vegetation – rare,"Population of Riccia liverwort (Riccia cavernosa) was not observed. The population observed in 2013 was located on the river banks, but the high-water levels at this location in 2016 were unsuitable for this species. It is expected that as water levels decrease the habitat will again be suitable for this species.",U,"June 23, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW conditions. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Isolate the previous extent of the population from cattle and monitor in 2018.,"July 20, 2017: large populations (thousands) of Riccia liverwort (Riccia cavernosa) observed on sandy soils near the water on both banks. Population continues off the ROW. No further monitoring recommended.",--,R,None.,--,--,--,--,,,
