Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
78,NW 28-6-13,1111.9 to 1112.7,4203,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,WPM,
78,NE 28-6-13,1112.7 to 1113.0,4204,Soils - Subsidence,Issue reported by construction contractor.,Unable to survey due to wet conditions during ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,WPM,
78,NE/SE 28-6-13,1112.78 to 1113.12,4204  4205,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (82%).,Health: Healthy with Problems (63%).  Undesirable species dominant on construction right-of-way. Landowner has cultivated construction right-of-way.,"Health: Healthy with Problems (70%). Weeds: Common burdock, annual sow-thistle, kochia, lamb’s-quarters. Disturbance and weedy species observed along construction right-of-way.",No weeds observed and vegetation establishment evident.,Health: Healthy with Problems (69%). Determined to be “resolved” due to land use changes by landowner. It is unlikely that the wetland will return to its baseline state. Land use alterations are out of Enbridge’s control.,--,Resolved,None.,,WPM,
79,NE 18-6-12,1120.1,4216,Vegetation - Establishment Water Quality and Quantity Cypress River,"Poor vegetation establishment on both banks. Minor rill erosion, slumping and unstable slopes on both banks. Approximately 50-70% willow success rate on both banks.",Poor vegetation establishment observed on west bank on construction right-of-way during ground reconnaissance.,Patchy growth on west side of the Cypress River.,Vegetation composition and density equal to off construction right-of-way.,Willows planted and area reseeded in fall 2011.,Resolved,None.,,WPM,
79,NW 17-6-12,1120.7,4217,Soils - Erosion,Issue reported by construction contractor.,Gully erosion observed on the construction right-of-way during ground reconnaissance.,Very minor erosion observed on right-of-way in canola stubble field. Erosion is now stable.,Gully erosion (approx. 10 cm x 30 cm) observed in ditch on construction right-of-way during ground reconnaissance.,Erosion repaired in 2010.,Unresolved,"Stabilize soils, establish vegetation and monitor in 2013.",,WPM,
79,NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Landowner reported “low area”.,--,"Repaired low areas north of farm yard, restored swale, imported topsoil in 2011.",Unresolved,"Repair subsidence, if warranted and monitor in 2013.",,WPM,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Agronomist to inspect and sample soil for crop loss.,--,Imported topsoil in 2011.,Unresolved,Reassess soil parameters and monitor crop growth in 2013.,,WPM,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of foxtail barley observed.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in October 2011.,Unresolved,Control weeds and monitor in 2013.,,WPM,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils – Contouring,--,Landowner noted low area from dugout to fence line,"Landowner reported ""low area"". Unnatural contour.  Landowner stated right-of-way is 6"" lower than off right-of-way.",--,Hauled in topsoil and installed berm east of dugout in 2011.,Unresolved,Monitor in 2013.,,WPM,
79,NE 10-6-12,1125.0 to 1125.6,4222.01,Vegetation – Establishment,--,--,Poor vegetation growth identified in 2011.,--,Seeded patchy growth on cattle runway and drainage swale fall in 2011.,Unresolved,Monitor in 2013.,,WPM,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Vegetation - Establishment,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment evident.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Unresolved,Reseed and monitor in 2013.,,WPM,
79,SE 10-6-12,1125.4 to 1125.85,4222.02,Soils – Compaction,--,--,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Alleviate compaction, if warranted and monitor in 2013.",,WPM,
79,SE 10-6-12,1125.5 to 1126.2,4222.02,Soils – Erosion,--,--,Rill erosion evident.,No erosion observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
79,NW 2-6-12,1127.0,4224,Soils - Compaction,Issue reported by construction contractor.,Rutting observed on construction right-of-way through drainage during ground reconnaissance.,--,No rutting observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,WPM,
80,NE 31-5-11,1131.3 to 1131.5,4231,Topography – Slopes Soils - Erosion  Vegetation - Establishment Water Quality and Quantity Cypress River,"Poor vegetation establishment on construction right-of-way at west bank. Area is highly disturbed by cattle. East bank of construction right-of-way crossing is unstable. No trees were observed on the west slope, likely due to cattle traffic.",Poor vegetation establishment observed on west bank and approach slope on construction right-of-way during ground reconnaissance. Heavy cattle traffic on construction right-of-way at crossing.,Poor vegetation establishment observed on west side of the Cypress River; silt fence present.,Vegetation composition and density equal to off construction right-of-way.,Slopes repaired and reseeded fall 2011.,Resolved,None.,,WPM,
80,NE 31-5-11,1131.5,4231,Water Quality and Quantity Cypress River,--,National Energy Board (NEB) inspection September 2011. NEB expressed concern of water restrictions at crossing. It was suggested to monitor creek crossing.,"Beavers have created a dam approximately 30 m upstream of the crossing. There is also a large sand bar instream, approximately 45 m upstream of the crossing blocking water flow.",Drainage issues observed not related to pipeline construction.,--,Resolved,None.,,WPM,
80,NE 31-5-11,1131.3 to 1131.5,4231,Vegetation – Weeds,--,--,Small amount of absinthe on west bank. Other weeds are dead.,"Moderate density of absinthe, Canada thistle and false ragweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,WPM,
80,SE 32-5-11,1133.0 to 1133.5,4233.01,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Similar soil structure observed on and off right-of-way.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Reassess soil parameters in 2013.,,WPM,
80,NW 24-5-11,1139.9,4241.01 4241.02,Topography – Slopes Soils - Erosion Vegetation - Establishment Water Quality and Quantity Unnamed Drainage,Silt fences are damaged. Area is highly disturbed by cattle. Poor vegetation establishment on both banks. Large gully starting to form down the bank on the east slope. Banks were observed to be poorly-recontoured and sediment has entered the drainage.,Moderate vegetation establishment on construction right-of-way at west bank. Heavy cattle traffic on construction right-of-way at crossing.,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Cattle traffic and erosion observed on construction right-of-way.,Area repaired and reseeded summer 2011.,Unresolved,Monitor in 2013.,,WPM,
80,NW 24-5-11,1139.85 to 1140.0,"4241.01, 4241.02",Vegetation - Weeds,--,--,"Moderate densities of Canada thistle observed on slopes. A few thistles, alive  but withering. Absinthe is dead.",Low densities of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,WPM,
80,SW 19-5-10,1141.3,4244,Topography – Slopes Soils - Erosion  Vegetation - Establishment Water Quality and Quantity Intermittent Creek,Rill and gully erosion on both the west and east slopes. Soil berms on the east slope have failed creating gullies down the slope.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,"Area repaired, protected and reseeded summer 2011.",Resolved,None.,,WPM,
80,SW 19-5-10,1141.23,4244,Vegetation – Weeds,--,--,A few thistle alive but withering. Absinthe in different stages of dying.,Patch of Canada thistle observed on construction right-of-way during ground reconnaissance. Moderate density of Canada thistle observed in preconstruction weed survey.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
81,SE 11-5-10,1149.6 to 1149.8,4255,Soils - Subsidence,Issue reported by construction contractor.,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,--,No subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired by landowner in 2010.,Resolved,None.,,WPM,
81,NE 31-4-9,1153.55 to 1153.7,4261,Vegetation - Weeds,"High density of nodding thistle, spear-leaved goosefoot, perennial sow-thistle, false ragweed and shepherd’s purse on and off construction right-of-way.","Moderate density of foxtail barley, nodding thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",Met with landowner onsite. The landowner is satisfied with vegetation and has no issues with weeds on right-of-way. Weed densities comparable on and off right-of-way.,Moderate density of nodding thistle and perennial sow-thistle observed along fence line on construction right-of-way during ground reconnaissance. Weed densities comparable on and off right-of-way.,--,Resolved,None.,,WPM,
81,SE 33-4-9-1,1156.6 to 1156.9,4266,Wetland Class Overall: III,--,--,"NEB observed geotextile at wetland during September 2011 inspection.  Wetland was very well vegetated and free of any geotech. Vegetation present included; wheatgrasses, cattail, sedges, bulrush, occasional foxtail barley and sow-thistle plants. The vegetation was also comparable to offsite. No weed issues.",--,"Geotextile removed from wetland on October 13, 2011.",Resolved,None.,,WPM,
82,NE 23-4-9-1,1160.62 to 1161.04,4273,Wetland Class Overall: III,--,--,"Wetland had held water in the past as evident by the vegetation. There were a few patchy areas where water was standing, but overall, it was well vegetated, restored wetland. The vegetation in the area was slough grass, water hemlock, sedges, bullrush, cattails. No weed issues observed.",--,--,Resolved,None.,,WPM,
83,SW 33-3-7,1178.0 to 1178.6,4297,Soils - Admixing,Severe admixing on construction right-of-way. No rutting observed on construction right-of-way.,Rutting and admixing evident.,Admixing evident in May 2012 on and off right-of-way due to deep tillage by landowner.,Admixing not related to construction activities. No crop growth issues observed.,--,Resolved,None.,,WPM,
